TITLE,Fecha,Cantidad,Time
Libro 107,2018-03-01,0.0,2
Libro 107,2018-04-01,0.0,3
Libro 107,2018-05-01,0.0,4
Libro 107,2018-06-01,0.0,5
Libro 107,2018-07-01,0.0,6
Libro 107,2018-08-01,0.0,7
Libro 107,2018-09-01,0.0,8
Libro 107,2018-10-01,0.0,9
Libro 107,2018-11-01,0.0,10
Libro 107,2018-12-01,0.0,11
Libro 107,2019-01-01,0.0,12
Libro 107,2019-02-01,0.0,13
Libro 107,2019-03-01,0.0,14
Libro 107,2019-04-01,0.0,15
Libro 107,2019-05-01,0.0,16
Libro 107,2019-06-01,0.0,17
Libro 107,2019-07-01,0.0,18
Libro 107,2019-08-01,0.0,19
Libro 107,2019-09-01,0.0,20
Libro 107,2019-10-01,0.0,21
Libro 107,2019-11-01,0.0,22
Libro 107,2019-12-01,0.0,23
Libro 107,2020-01-01,0.0,24
Libro 107,2020-02-01,0.0,25
Libro 107,2020-03-01,0.0,26
Libro 107,2020-04-01,0.0,27
Libro 107,2020-05-01,22.0,28
Libro 107,2020-06-01,38.0,29
Libro 107,2020-07-01,80.0,30
Libro 107,2020-08-01,61.0,31
Libro 107,2020-09-01,58.0,32
Libro 107,2020-10-01,53.0,33
Libro 107,2020-11-01,44.0,34
Libro 107,2020-12-01,47.0,35
Libro 107,2021-01-01,15.0,36
Libro 108,2018-01-01,15.0,0
Libro 108,2018-02-01,11.0,1
Libro 108,2018-03-01,8.0,2
Libro 108,2018-04-01,11.0,3
Libro 108,2018-05-01,12.0,4
Libro 108,2018-06-01,25.0,5
Libro 108,2018-07-01,32.0,6
Libro 108,2018-08-01,12.0,7
Libro 108,2018-09-01,20.0,8
Libro 108,2018-10-01,32.0,9
Libro 108,2018-11-01,41.0,10
Libro 108,2018-12-01,0.0,11
Libro 108,2019-01-01,24.0,12
Libro 108,2019-02-01,41.0,13
Libro 108,2019-03-01,27.0,14
Libro 108,2019-04-01,23.0,15
Libro 108,2019-05-01,26.0,16
Libro 108,2019-06-01,29.0,17
Libro 108,2019-07-01,19.0,18
Libro 108,2019-08-01,26.0,19
Libro 108,2019-09-01,31.0,20
Libro 108,2019-10-01,27.0,21
Libro 108,2019-11-01,28.0,22
Libro 108,2019-12-01,61.0,23
Libro 108,2020-01-01,33.0,24
Libro 108,2020-02-01,48.0,25
Libro 108,2020-03-01,21.0,26
Libro 108,2020-04-01,10.0,27
Libro 108,2020-05-01,13.0,28
Libro 108,2020-06-01,11.0,29
Libro 108,2020-07-01,30.0,30
Libro 108,2020-08-01,29.0,31
Libro 108,2020-09-01,26.0,32
Libro 108,2020-10-01,16.0,33
Libro 108,2020-11-01,17.0,34
Libro 108,2020-12-01,42.0,35
Libro 108,2021-01-01,24.0,36
Libro 109,2018-01-01,9.0,0
Libro 109,2018-02-01,4.0,1
Libro 109,2018-03-01,9.0,2
Libro 109,2018-04-01,5.0,3
Libro 109,2018-05-01,5.0,4
Libro 109,2018-06-01,16.0,5
Libro 109,2018-07-01,24.0,6
Libro 109,2018-08-01,6.0,7
Libro 109,2018-09-01,14.0,8
Libro 109,2018-10-01,29.0,9
Libro 109,2018-11-01,23.0,10
Libro 109,2018-12-01,0.0,11
Libro 109,2019-01-01,26.0,12
Libro 109,2019-02-01,36.0,13
Libro 109,2019-03-01,40.0,14
Libro 109,2019-04-01,31.0,15
Libro 109,2019-05-01,22.0,16
Libro 109,2019-06-01,17.0,17
Libro 109,2019-07-01,9.0,18
Libro 109,2019-08-01,17.0,19
Libro 109,2019-09-01,16.0,20
Libro 109,2019-10-01,27.0,21
Libro 109,2019-11-01,13.0,22
Libro 109,2019-12-01,47.0,23
Libro 109,2020-01-01,16.0,24
Libro 109,2020-02-01,26.0,25
Libro 109,2020-03-01,7.0,26
Libro 109,2020-04-01,5.0,27
Libro 109,2020-05-01,5.0,28
Libro 109,2020-06-01,4.0,29
Libro 109,2020-07-01,6.0,30
Libro 109,2020-08-01,10.0,31
Libro 109,2020-09-01,10.0,32
Libro 109,2020-10-01,10.0,33
Libro 109,2020-11-01,9.0,34
Libro 109,2020-12-01,23.0,35
Libro 109,2021-01-01,18.0,36
Libro 11,2018-01-01,618.0,0
Libro 11,2018-02-01,410.0,1
Libro 11,2018-03-01,635.0,2
Libro 11,2018-04-01,396.0,3
Libro 11,2018-05-01,337.0,4
Libro 11,2018-06-01,305.0,5
Libro 11,2018-07-01,488.0,6
Libro 11,2018-08-01,208.0,7
Libro 11,2018-09-01,371.0,8
Libro 11,2018-10-01,577.0,9
Libro 11,2018-11-01,751.0,10
Libro 11,2018-12-01,0.0,11
Libro 11,2019-01-01,474.0,12
Libro 11,2019-02-01,346.0,13
Libro 11,2019-03-01,269.0,14
Libro 11,2019-04-01,209.0,15
Libro 11,2019-05-01,465.0,16
Libro 11,2019-06-01,445.0,17
Libro 11,2019-07-01,487.0,18
Libro 11,2019-08-01,441.0,19
Libro 11,2019-09-01,567.0,20
Libro 11,2019-10-01,295.0,21
Libro 11,2019-11-01,170.0,22
Libro 11,2019-12-01,345.0,23
Libro 11,2020-01-01,119.0,24
Libro 11,2020-02-01,70.0,25
Libro 11,2020-03-01,35.0,26
Libro 11,2020-04-01,42.0,27
Libro 11,2020-05-01,9.0,28
Libro 11,2020-06-01,30.0,29
Libro 11,2020-07-01,29.0,30
Libro 11,2020-08-01,39.0,31
Libro 11,2020-09-01,37.0,32
Libro 11,2020-10-01,45.0,33
Libro 11,2020-11-01,76.0,34
Libro 11,2020-12-01,211.0,35
Libro 11,2021-01-01,73.0,36
Libro 110,2018-01-01,1.0,0
Libro 110,2018-02-01,1.0,1
Libro 110,2018-03-01,4.0,2
Libro 110,2018-04-01,1.0,3
Libro 110,2018-05-01,6.0,4
Libro 110,2018-06-01,17.0,5
Libro 110,2018-07-01,15.0,6
Libro 110,2018-08-01,7.0,7
Libro 110,2018-09-01,13.0,8
Libro 110,2018-10-01,18.0,9
Libro 110,2018-11-01,16.0,10
Libro 110,2018-12-01,0.0,11
Libro 110,2019-01-01,9.0,12
Libro 110,2019-02-01,7.0,13
Libro 110,2019-03-01,12.0,14
Libro 110,2019-04-01,9.0,15
Libro 110,2019-05-01,7.0,16
Libro 110,2019-06-01,8.0,17
Libro 110,2019-07-01,13.0,18
Libro 110,2019-08-01,2.0,19
Libro 110,2019-09-01,1.0,20
Libro 110,2019-10-01,5.0,21
Libro 110,2019-11-01,0.0,22
Libro 110,2019-12-01,0.0,23
Libro 110,2020-01-01,0.0,24
Libro 110,2020-02-01,2.0,25
Libro 110,2020-03-01,0.0,26
Libro 110,2020-04-01,0.0,27
Libro 110,2020-05-01,0.0,28
Libro 110,2020-06-01,0.0,29
Libro 110,2020-07-01,0.0,30
Libro 110,2020-08-01,0.0,31
Libro 110,2020-09-01,0.0,32
Libro 110,2020-10-01,0.0,33
Libro 110,2020-11-01,0.0,34
Libro 110,2020-12-01,0.0,35
Libro 110,2021-01-01,0.0,36
Libro 111,2018-01-01,6.0,0
Libro 111,2018-02-01,6.0,1
Libro 111,2018-03-01,4.0,2
Libro 111,2018-04-01,1.0,3
Libro 111,2018-05-01,11.0,4
Libro 111,2018-06-01,28.0,5
Libro 111,2018-07-01,29.0,6
Libro 111,2018-08-01,9.0,7
Libro 111,2018-09-01,13.0,8
Libro 111,2018-10-01,28.0,9
Libro 111,2018-11-01,39.0,10
Libro 111,2018-12-01,0.0,11
Libro 111,2019-01-01,36.0,12
Libro 111,2019-02-01,61.0,13
Libro 111,2019-03-01,28.0,14
Libro 111,2019-04-01,15.0,15
Libro 111,2019-05-01,19.0,16
Libro 111,2019-06-01,16.0,17
Libro 111,2019-07-01,8.0,18
Libro 111,2019-08-01,17.0,19
Libro 111,2019-09-01,34.0,20
Libro 111,2019-10-01,30.0,21
Libro 111,2019-11-01,30.0,22
Libro 111,2019-12-01,50.0,23
Libro 111,2020-01-01,18.0,24
Libro 111,2020-02-01,15.0,25
Libro 111,2020-03-01,9.0,26
Libro 111,2020-04-01,2.0,27
Libro 111,2020-05-01,2.0,28
Libro 111,2020-06-01,2.0,29
Libro 111,2020-07-01,10.0,30
Libro 111,2020-08-01,4.0,31
Libro 111,2020-09-01,27.0,32
Libro 111,2020-10-01,6.0,33
Libro 111,2020-11-01,6.0,34
Libro 111,2020-12-01,10.0,35
Libro 111,2021-01-01,5.0,36
Libro 112,2018-01-01,6.0,0
Libro 112,2018-02-01,4.0,1
Libro 112,2018-03-01,3.0,2
Libro 112,2018-04-01,1.0,3
Libro 112,2018-05-01,2.0,4
Libro 112,2018-06-01,7.0,5
Libro 112,2018-07-01,9.0,6
Libro 112,2018-08-01,245.0,7
Libro 112,2018-09-01,8.0,8
Libro 112,2018-10-01,6.0,9
Libro 112,2018-11-01,5.0,10
Libro 112,2018-12-01,0.0,11
Libro 112,2019-01-01,9.0,12
Libro 112,2019-02-01,11.0,13
Libro 112,2019-03-01,9.0,14
Libro 112,2019-04-01,8.0,15
Libro 112,2019-05-01,7.0,16
Libro 112,2019-06-01,17.0,17
Libro 112,2019-07-01,13.0,18
Libro 112,2019-08-01,13.0,19
Libro 112,2019-09-01,14.0,20
Libro 112,2019-10-01,10.0,21
Libro 112,2019-11-01,13.0,22
Libro 112,2019-12-01,45.0,23
Libro 112,2020-01-01,10.0,24
Libro 112,2020-02-01,15.0,25
Libro 112,2020-03-01,7.0,26
Libro 112,2020-04-01,0.0,27
Libro 112,2020-05-01,1.0,28
Libro 112,2020-06-01,3.0,29
Libro 112,2020-07-01,7.0,30
Libro 112,2020-08-01,6.0,31
Libro 112,2020-09-01,6.0,32
Libro 112,2020-10-01,11.0,33
Libro 112,2020-11-01,8.0,34
Libro 112,2020-12-01,18.0,35
Libro 112,2021-01-01,2.0,36
Libro 113,2018-01-01,2.0,0
Libro 113,2018-02-01,3.0,1
Libro 113,2018-03-01,4.0,2
Libro 113,2018-04-01,4.0,3
Libro 113,2018-05-01,2.0,4
Libro 113,2018-06-01,9.0,5
Libro 113,2018-07-01,11.0,6
Libro 113,2018-08-01,17.0,7
Libro 113,2018-09-01,9.0,8
Libro 113,2018-10-01,10.0,9
Libro 113,2018-11-01,10.0,10
Libro 113,2018-12-01,0.0,11
Libro 113,2019-01-01,21.0,12
Libro 113,2019-02-01,18.0,13
Libro 113,2019-03-01,16.0,14
Libro 113,2019-04-01,12.0,15
Libro 113,2019-05-01,4.0,16
Libro 113,2019-06-01,6.0,17
Libro 113,2019-07-01,10.0,18
Libro 113,2019-08-01,11.0,19
Libro 113,2019-09-01,12.0,20
Libro 113,2019-10-01,7.0,21
Libro 113,2019-11-01,15.0,22
Libro 113,2019-12-01,19.0,23
Libro 113,2020-01-01,9.0,24
Libro 113,2020-02-01,18.0,25
Libro 113,2020-03-01,12.0,26
Libro 113,2020-04-01,3.0,27
Libro 113,2020-05-01,3.0,28
Libro 113,2020-06-01,6.0,29
Libro 113,2020-07-01,10.0,30
Libro 113,2020-08-01,6.0,31
Libro 113,2020-09-01,6.0,32
Libro 113,2020-10-01,3.0,33
Libro 113,2020-11-01,7.0,34
Libro 113,2020-12-01,9.0,35
Libro 113,2021-01-01,0.0,36
Libro 114,2018-01-01,21.0,0
Libro 114,2018-02-01,23.0,1
Libro 114,2018-03-01,12.0,2
Libro 114,2018-04-01,12.0,3
Libro 114,2018-05-01,8.0,4
Libro 114,2018-06-01,38.0,5
Libro 114,2018-07-01,52.0,6
Libro 114,2018-08-01,18.0,7
Libro 114,2018-09-01,13.0,8
Libro 114,2018-10-01,72.0,9
Libro 114,2018-11-01,65.0,10
Libro 114,2018-12-01,0.0,11
Libro 114,2019-01-01,63.0,12
Libro 114,2019-02-01,59.0,13
Libro 114,2019-03-01,36.0,14
Libro 114,2019-04-01,27.0,15
Libro 114,2019-05-01,19.0,16
Libro 114,2019-06-01,30.0,17
Libro 114,2019-07-01,36.0,18
Libro 114,2019-08-01,26.0,19
Libro 114,2019-09-01,79.0,20
Libro 114,2019-10-01,100.0,21
Libro 114,2019-11-01,98.0,22
Libro 114,2019-12-01,213.0,23
Libro 114,2020-01-01,81.0,24
Libro 114,2020-02-01,99.0,25
Libro 114,2020-03-01,75.0,26
Libro 114,2020-04-01,11.0,27
Libro 114,2020-05-01,6.0,28
Libro 114,2020-06-01,17.0,29
Libro 114,2020-07-01,36.0,30
Libro 114,2020-08-01,32.0,31
Libro 114,2020-09-01,25.0,32
Libro 114,2020-10-01,14.0,33
Libro 114,2020-11-01,13.0,34
Libro 114,2020-12-01,14.0,35
Libro 114,2021-01-01,4.0,36
Libro 115,2018-01-01,12.0,0
Libro 115,2018-02-01,28.0,1
Libro 115,2018-03-01,19.0,2
Libro 115,2018-04-01,5.0,3
Libro 115,2018-05-01,12.0,4
Libro 115,2018-06-01,5.0,5
Libro 115,2018-07-01,10.0,6
Libro 115,2018-08-01,5.0,7
Libro 115,2018-09-01,6.0,8
Libro 115,2018-10-01,9.0,9
Libro 115,2018-11-01,5.0,10
Libro 115,2018-12-01,0.0,11
Libro 115,2019-01-01,6.0,12
Libro 115,2019-02-01,53.0,13
Libro 115,2019-03-01,31.0,14
Libro 115,2019-04-01,9.0,15
Libro 115,2019-05-01,11.0,16
Libro 115,2019-06-01,15.0,17
